time,phase,pos_x,pos_y,yaw_deg,speed_kph,vx_body,vy_body,yaw_rate_dps,throttle,brake,steer_deg,gear,rpm,fz_fl,fz_fr,fz_rl,fz_rr,sr_fl,sr_fr,sr_rl,sr_rr,sa_fl_deg,sa_fr_deg,sa_rl_deg,sa_rr_deg,fx_fl,fx_fr,fx_rl,fx_rr,fy_fl,fy_fr,fy_rl,fy_rr,lat_accel_g,susp_defl_fl_mm,susp_defl_fr_mm,susp_defl_rl_mm,susp_defl_rr_mm,susp_vel_fl,susp_vel_fr,susp_vel_rl,susp_vel_rr,roll_deg,pitch_deg,fz_total,understeer_deg,fc_util_fl,fc_util_fr,fc_util_rl,fc_util_rr,radius_m,yaw_rate_ref_dps
2.0000,accel,2.5008,0.0000,0.0000,14.0525,3.8306,0.0000,0.0000,1.0000,0.0000,0.0000,1,1981.8146,3956.1840,3956.1840,2912.6671,2912.6671,0.0669,0.0669,0.3129,0.3129,0.0000,0.0000,0.0000,0.0000,3303.1775,3303.1775,2821.8630,2821.8630,0.0000,0.0000,0.0000,0.0000,0.0000,-13.9732,-13.9732,20.4935,20.4935,227.1618,227.1618,-208.3027,-208.3027,0.0000,-0.7595,13737.7022,0.0000,0.8349,0.8349,0.9688,0.9688,0.0000,0.0000
2.1000,accel,2.9093,0.0000,0.0000,15.4568,4.2371,0.0000,0.0000,1.0000,0.0000,0.0000,1,2209.5267,3481.3663,3481.3663,3382.8521,3382.8521,0.0247,0.0247,0.3193,0.3193,0.0000,0.0000,0.0000,0.0000,1469.2684,1469.2684,3274.1340,3274.1340,0.0000,0.0000,0.0000,0.0000,0.0000,-15.7107,-15.7107,21.5292,21.5292,54.6099,54.6099,-81.3621,-81.3621,0.0000,-0.8206,13728.4368,0.0000,0.4220,0.4220,0.9679,0.9679,0.0000,0.0000
2.2000,accel,3.3592,0.0000,0.0000,16.7108,4.6330,0.0000,0.0000,1.0000,0.0000,0.0000,1,2902.4517,2962.8834,2962.8834,3902.0413,3902.0413,-0.1514,-0.1514,0.4342,0.4342,0.0000,0.0000,0.0000,0.0000,-2962.8834,-2962.8834,3715.4003,3715.4003,0.0000,0.0000,0.0000,0.0000,0.0000,-15.2335,-15.2335,21.6272,21.6272,-112.5399,-112.5399,92.7887,92.7887,0.0000,-0.8123,13729.8493,0.0000,1.0000,1.0000,0.9522,0.9522,0.0000,0.0000
2.3000,accel,3.8525,0.0000,0.0000,18.4724,5.1223,0.0000,0.0000,1.0000,0.0000,0.0000,1,3615.0437,3068.1601,3068.1601,3795.3867,3795.3867,-0.0805,-0.0805,0.4979,0.4979,0.0000,0.0000,0.0000,0.0000,-2829.3364,-2829.3364,3585.1477,3585.1477,0.0000,0.0000,0.0000,0.0000,0.0000,-18.6132,-18.6132,24.1462,24.1462,-58.3202,-58.3202,24.9370,24.9370,0.0000,-0.9423,13727.0935,0.0000,0.9222,0.9222,0.9446,0.9446,0.0000,0.0000
2.4000,accel,4.3948,0.0000,0.0000,20.2276,5.6115,0.0000,0.0000,1.0000,0.0000,0.0000,1,5621.7011,3027.1457,3027.1457,3836.7938,3836.7938,-0.1021,-0.1021,0.6463,0.6463,0.0000,0.0000,0.0000,0.0000,-2949.6498,-2949.6498,3565.4194,3565.4194,0.0000,0.0000,0.0000,0.0000,0.0000,-20.0075,-20.0075,25.2436,25.2436,-60.0789,-60.0789,30.5258,30.5258,0.0000,-0.9972,13727.8789,0.0000,0.9744,0.9744,0.9293,0.9293,0.0000,0.0000
2.5000,accel,4.9856,0.0000,0.0000,22.0073,6.1015,0.0000,0.0000,1.0000,0.0000,0.0000,2,1997.6510,2855.8988,2855.8988,4009.8846,4009.8846,-0.1696,-0.1696,0.3894,0.3894,0.0000,0.0000,0.0000,0.0000,-2855.8988,-2855.8988,3841.3085,3841.3085,0.0000,0.0000,0.0000,0.0000,0.0000,-20.6893,-20.6893,25.9485,25.9485,-104.1370,-104.1370,92.7129,92.7129,0.0000,-1.0277,13731.5670,0.0000,1.0000,1.0000,0.9580,0.9580,0.0000,0.0000
2.6000,accel,5.6020,0.0000,0.0000,22.1836,6.1695,0.0000,0.0000,1.0000,0.0000,0.0000,2,1360.8106,3621.0705,3621.0705,3242.8204,3242.8204,-0.2328,-0.2328,0.0935,0.0935,0.0000,0.0000,0.0000,0.0000,-3621.0705,-3621.0705,3009.0363,3009.0363,0.0000,0.0000,0.0000,0.0000,0.0000,-8.7208,-8.7208,14.4179,14.4179,40.5924,40.5924,-70.5765,-70.5765,0.0000,-0.5099,13727.7817,0.0000,1.0000,1.0000,0.9279,0.9279,0.0000,0.0000
2.7000,accel,6.2195,0.0000,0.0000,22.2477,6.2487,0.0000,0.0000,1.0000,0.0000,0.0000,2,1187.8059,2612.3123,2612.3123,4261.6072,4261.6072,-0.2502,-0.2502,-0.0489,-0.0489,0.0000,0.0000,0.0000,0.0000,-2612.3123,-2612.3123,-3159.9717,-3159.9717,0.0000,0.0000,0.0000,0.0000,0.0000,-5.9558,-5.9558,10.5429,10.5429,-278.9725,-278.9725,347.4579,347.4579,0.0000,-0.3636,13747.8391,0.0000,1.0000,1.0000,0.7415,0.7415,0.0000,0.0000
2.8000,accel,6.8509,0.0000,0.0000,23.1311,6.3495,0.0000,0.0000,1.0000,0.0000,0.0000,2,1670.8213,4607.0229,4607.0229,2266.3396,2266.3396,0.0838,0.0838,0.2402,0.2402,0.0000,0.0000,0.0000,0.0000,4158.7495,4158.7495,2220.1441,2220.1441,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1392,-3.1392,9.7105,9.7105,379.1576,379.1576,-315.9463,-315.9463,0.0000,-0.2832,13746.7250,0.0000,0.9027,0.9027,0.9796,0.9796,0.0000,0.0000
2.9000,accel,7.5010,0.0000,0.0000,23.6170,6.6140,0.0000,0.0000,1.0000,0.0000,0.0000,2,1289.7353,2574.9116,2574.9116,4296.8270,4296.8270,-0.2002,-0.2002,-0.0245,-0.0245,0.0000,0.0000,0.0000,0.0000,-2574.9116,-2574.9116,-1925.9731,-1925.9731,0.0000,0.0000,0.0000,0.0000,0.0000,-6.8425,-6.8425,13.6379,13.6379,-283.3242,-283.3242,330.5955,330.5955,0.0000,-0.4513,13743.4773,0.0000,1.0000,1.0000,0.4482,0.4482,0.0000,0.0000
3.0000,accel,8.1707,0.0000,0.0000,24.3903,6.7726,0.0000,0.0000,1.0000,0.0000,0.0000,2,1231.7547,3710.5986,3710.5986,3152.7675,3152.7675,0.0736,0.0736,-0.0900,-0.0900,0.0000,0.0000,0.0000,0.0000,3213.4025,3213.4025,-2994.7301,-2994.7301,0.0000,0.0000,0.0000,0.0000,0.0000,-5.8832,-5.8832,12.5649,12.5649,48.0279,48.0279,-83.0700,-83.0700,0.0000,-0.4065,13726.7323,0.0000,0.8660,0.8660,0.9499,0.9499,0.0000,0.0000
3.1000,accel,8.8591,0.0000,0.0000,25.1747,6.9442,0.0000,0.0000,1.0000,0.0000,0.0000,2,1496.8468,4101.4270,4101.4270,2766.5767,2766.5767,0.0246,0.0246,0.0725,0.0725,0.0000,0.0000,0.0000,0.0000,1725.1743,1725.1743,2383.2163,2383.2163,0.0000,0.0000,0.0000,0.0000,0.0000,-5.4379,-5.4379,11.9996,11.9996,199.9056,199.9056,-189.3726,-189.3726,0.0000,-0.3843,13736.0074,0.0000,0.4206,0.4206,0.8614,0.8614,0.0000,0.0000
3.2000,accel,9.5657,0.0000,0.0000,25.8355,7.0963,0.0000,0.0000,1.0000,0.0000,0.0000,2,1677.0507,3819.9011,3819.9011,3043.7594,3043.7594,0.1767,0.1767,0.1540,0.1540,0.0000,0.0000,0.0000,0.0000,3762.4834,3762.4834,2991.1023,2991.1023,0.0000,0.0000,0.0000,0.0000,0.0000,-3.8016,-3.8016,10.9987,10.9987,70.9324,70.9324,-103.0279,-103.0279,0.0000,-0.3262,13727.3212,0.0000,0.9850,0.9850,0.9827,0.9827,0.0000,0.0000
3.3000,accel,10.2923,0.0000,0.0000,26.4480,7.3425,0.0000,0.0000,1.0000,0.0000,0.0000,2,1383.2645,3794.2682,3794.2682,3070.6059,3070.6059,0.0537,0.0537,-0.0575,-0.0575,0.0000,0.0000,0.0000,0.0000,2847.1639,2847.1639,-2482.8594,-2482.8594,0.0000,0.0000,0.0000,0.0000,0.0000,-6.4241,-6.4241,12.6523,12.6523,86.9046,86.9046,-107.1693,-107.1693,0.0000,-0.4204,13729.7482,0.0000,0.7504,0.7504,0.8086,0.8086,0.0000,0.0000
3.4000,accel,11.0383,0.0000,0.0000,27.2206,7.5335,0.0000,0.0000,1.0000,0.0000,0.0000,2,1506.7650,3559.9802,3559.9802,3302.1947,3302.1947,0.0440,0.0440,0.0005,0.0005,0.0000,0.0000,0.0000,0.0000,2366.8327,2366.8327,-18.4681,-18.4681,0.0000,0.0000,0.0000,0.0000,0.0000,-6.2822,-6.2822,12.6390,12.6390,-5.8785,-5.8785,-40.9061,-40.9061,0.0000,-0.4170,13724.3499,0.0000,0.6648,0.6648,0.0056,0.0056,0.0000,0.0000
3.5000,accel,11.8031,0.0000,0.0000,27.7242,7.6921,0.0000,0.0000,1.0000,0.0000,0.0000,1,2355.3051,3918.1586,3918.1586,2948.4487,2948.4487,0.1054,0.1054,-0.1356,-0.1356,0.0000,0.0000,0.0000,0.0000,3720.3780,3720.3780,-2948.4487,-2948.4487,0.0000,0.0000,0.0000,0.0000,0.0000,-5.3034,-5.3034,10.7606,10.7606,125.2531,125.2531,-128.5587,-128.5587,0.0000,-0.3540,13733.2146,0.0000,0.9495,0.9495,1.0000,1.0000,0.0000,0.0000
3.6000,accel,12.5726,0.0000,0.0000,27.7105,7.6903,0.0000,0.0000,1.0000,0.0000,0.0000,1,2368.8228,3849.7078,3849.7078,3016.5295,3016.5295,0.1010,0.1010,-0.1305,-0.1305,0.0000,0.0000,0.0000,0.0000,3628.5332,3628.5332,-3016.5295,-3016.5295,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7381,-1.7381,5.1968,5.1968,62.2196,62.2196,-69.3657,-69.3657,0.0000,-0.1528,13732.4746,0.0000,0.9425,0.9425,1.0000,1.0000,0.0000,0.0000
3.7000,accel,13.3445,0.0000,0.0000,28.2190,7.7861,0.0000,0.0000,1.0000,0.0000,0.0000,1,3302.3118,3451.5368,3451.5368,3414.5193,3414.5193,0.0177,0.0177,0.1646,0.1646,0.0000,0.0000,0.0000,0.0000,1062.9404,1062.9404,3360.8283,3360.8283,0.0000,0.0000,0.0000,0.0000,0.0000,-3.4633,-3.4633,6.6015,6.6015,-56.9972,-56.9972,48.0371,48.0371,0.0000,-0.2218,13732.1121,0.0000,0.3080,0.3080,0.9843,0.9843,0.0000,0.0000
3.8000,accel,14.1558,0.0000,0.0000,30.0970,8.2942,0.0000,0.0000,1.0000,0.0000,0.0000,1,4437.3591,3514.2543,3514.2543,3350.8925,3350.8925,0.0439,0.0439,0.3378,0.3378,0.0000,0.0000,0.0000,0.0000,2335.4121,2335.4121,3234.1442,3234.1442,0.0000,0.0000,0.0000,0.0000,0.0000,-13.7196,-13.7196,18.0483,18.0483,47.8533,47.8533,-65.6304,-65.6304,0.0000,-0.7001,13730.2936,0.0000,0.6646,0.6646,0.9652,0.9652,0.0000,0.0000
3.9000,accel,15.0174,0.0000,0.0000,31.8696,8.7905,0.0000,0.0000,1.0000,0.0000,0.0000,1,6096.4261,3522.6715,3522.6715,3343.3949,3343.3949,0.0372,0.0372,0.4891,0.4891,0.0000,0.0000,0.0000,0.0000,2080.6399,2080.6399,3161.5479,3161.5479,0.0000,0.0000,0.0000,0.0000,0.0000,-17.7457,-17.7457,22.5837,22.5837,91.4815,91.4815,-100.1679,-100.1679,0.0000,-0.8887,13732.1327,0.0000,0.5906,0.5906,0.9456,0.9456,0.0000,0.0000
4.0000,accel,15.9280,0.0000,0.0000,33.6302,9.2782,0.0000,0.0000,1.0000,0.0000,0.0000,1,6664.5891,3533.1668,3533.1668,3333.3240,3333.3240,0.0402,0.0402,0.5068,0.5068,0.0000,0.0000,0.0000,0.0000,2207.6093,2207.6093,3145.3758,3145.3758,0.0000,0.0000,0.0000,0.0000,0.0000,-19.2646,-19.2646,24.3080,24.3080,110.8692,110.8692,-115.3617,-115.3617,0.0000,-0.9602,13732.9817,0.0000,0.6248,0.6248,0.9436,0.9436,0.0000,0.0000
4.1000,accel,16.8874,0.0000,0.0000,35.3906,9.7653,0.0000,0.0000,1.0000,0.0000,0.0000,1,6782.3007,3541.1347,3541.1347,3325.5800,3325.5800,0.0446,0.0446,0.4899,0.4899,0.0000,0.0000,0.0000,0.0000,2375.2952,2375.2952,3144.4202,3144.4202,0.0000,0.0000,0.0000,0.0000,0.0000,-19.8829,-19.8829,25.0008,25.0008,120.2387,120.2387,-122.5227,-122.5227,0.0000,-0.9891,13733.4295,0.0000,0.6708,0.6708,0.9455,0.9455,0.0000,0.0000
4.2000,accel,17.8957,0.0000,0.0000,37.1533,10.2536,0.0000,0.0000,1.0000,0.0000,0.0000,1,6794.0992,3541.9028,3541.9028,3324.9071,3324.9071,0.0476,0.0476,0.4653,0.4653,0.0000,0.0000,0.0000,0.0000,2476.3970,2476.3970,3153.3097,3153.3097,0.0000,0.0000,0.0000,0.0000,0.0000,-20.1806,-20.1806,25.3026,25.3026,123.5233,123.5233,-124.8708,-124.8708,0.0000,-1.0023,13733.6199,0.0000,0.6992,0.6992,0.9484,0.9484,0.0000,0.0000
4.3000,accel,18.9530,0.0000,0.0000,38.9199,10.7439,0.0000,0.0000,1.0000,0.0000,0.0000,1,6779.0058,3537.1214,3537.1214,3329.7169,3329.7169,0.0484,0.0484,0.4385,0.4385,0.0000,0.0000,0.0000,0.0000,2499.6127,2499.6127,3168.6894,3168.6894,0.0000,0.0000,0.0000,0.0000,0.0000,-20.3775,-20.3775,25.4643,25.4643,123.5791,123.5791,-124.6516,-124.6516,0.0000,-1.0102,13733.6766,0.0000,0.7067,0.7067,0.9516,0.9516,0.0000,0.0000
